left_hand,mark_left,mark_right,right_hand
369.36630249,240.0,420.0,500.0
367.508789062,238.199704003,419.751642667,500.0
365.949707031,236.398611241,419.491384009,500.0
364.508743286,234.597512784,419.219078597,364.230194092
362.600631714,232.797226557,418.93457879,362.528793335
361.095504761,230.998597687,418.637734876,361.20300293
360.57925415,229.202498817,418.328395228,360.497055054
358.082229614,227.409830388,418.006406479,358.712463379
355.779418945,225.621520888,417.671613707,357.082824707
353.309783936,223.838527055,417.323860645,356.427520752
350.557952881,222.061834042,416.962989905,355.686523438
346.899993896,220.292455539,416.588843219,353.815032959
343.672195435,218.531433834,416.201261709,351.990234375
338.878082275,216.779839829,415.800086168,349.123275757
337.469085693,215.038772996,415.38515737,347.881118774
334.340744019,213.30936127,414.956316401,345.993362427
331.714202881,211.59276087,414.513405013,344.132461548
327.679550171,209.890156058,414.056266008,340.790557861
326.486190796,208.202758819,413.584743641,339.723114014
323.465515137,206.531808455,413.098684052,337.042526245
321.644195557,204.878571102,412.597935735,335.44078064
320.130462646,203.244339156,412.08235002,334.017791748
319.043807983,201.630430597,411.551781597,332.627822876
318.040435791,200.038188223,411.006089065,331.711532593
317.280822754,198.468978778,410.445135513,330.909561157
316.526107788,196.924191967,409.868789135,330.210876465
315.92741394,195.405239361,409.276923869,329.283432007
315.580535889,193.913553186,408.669420079,328.28894043
316.015319824,192.450584983,408.046165263,326.17098999
317.376281738,191.017804154,407.407054794,323.939086914
319.882034302,189.616696364,406.751992697,321.03565979
324.27885437,188.24876182,406.080892454,317.68421936
329.561889648,186.915513406,405.393677843,314.003051758
338.20866394,185.618474683,404.690283812,309.221298218
343.930099487,184.359177745,403.970657376,306.144546509
343.930099487,183.139160932,403.234758545,306.144546509
354.000640869,181.959966396,402.482561289,300.052322388
356.832992554,180.823137519,401.714054513,298.179412842
359.220535278,179.730216195,400.92924307,296.386611938
360.902099609,178.682739954,400.128148791,294.808242798
362.353652954,177.682238953,399.310811526,293.214187622
363.661422729,176.730232818,398.477290217,291.698440552
364.05291748,175.828227357,397.627663968,290.905792236
364.334793091,174.977711133,396.762033132,290.377487183
364.560073853,174.180151916,395.880520403,289.982711792
364.600814819,173.43699301,394.983271901,289.898712158
364.726730347,172.749649469,394.070458257,289.844512939
365.059295654,172.119504214,393.14227569,289.935943604
365.614868164,171.547904051,392.198947057,289.8931427
366.979553223,171.036155614,391.240722894,289.71522522
368.843521118,170.585521235,390.267882418,288.897338867
370.80128479,170.197214765,389.280734493,286.765808105
373.31918335,169.872397356,388.279618562,281.684768677
375.417076111,169.612173219,387.264905513,276.429153442
376.455963135,169.417585386,386.236998503,272.310623169
379.005271912,169.289611483,385.196333699,268.580337524
379.352714539,169.229159541,384.143380958,265.195709229
379.611846924,169.237063868,383.078644413,262.419433594
380.269920349,169.314081005,382.002662972,258.620162964
380.54208374,169.460885773,380.916010719,256.630371094
380.790435791,169.67806747,379.819297203,255.2684021
381.056274414,169.966126199,378.71316761,254.137924194
381.17565155,170.325469387,377.598302815,252.982147217
381.371917725,170.756408505,376.4754193,251.0340271
381.509605408,171.259156008,375.345268932,249.657958984
381.567741394,171.833822533,374.208638598,248.391494751
381.69342804,172.480414373,373.06634969,246.566864014
381.767875671,173.198831247,371.91925743,245.359771729
381.861915588,173.988864391,370.76825004,243.942565918
382.076286316,174.850194992,369.614247742,241.042572021
382.32144165,175.782392985,368.4582016,238.46762085
382.496696472,176.784916227,367.301092184,236.394897461
382.719322205,177.857110068,366.143928081,234.625427246
382.974769592,178.998207327,364.987744222,233.402557373
383.179138184,180.207328691,363.833600062,230.635375977
383.321220398,181.483483542,362.682577588,229.509429932
383.494804382,182.82557121,361.535779174,228.717987061
383.695388794,184.232382675,360.394325292,227.782806396
384.081939697,185.702602695,359.259352076,225.664794922
384.259536743,187.234812364,358.132008756,224.191741943
384.293914795,188.827492107,357.013454969,222.90524292
384.132408142,190.479025078,355.90485796,221.986755371
383.516555786,192.187700963,354.807389683,220.540679932
380.503662109,193.951720177,353.722223826,217.491516113
377.658256531,195.769198412,352.650532753,216.526306152
372.807426453,197.638171541,351.593484403,215.017730713
369.060394287,199.556600835,350.55223915,214.380279541
364.794326782,201.522378471,349.52794664,214.144470215
360.780502319,203.533333302,348.521742623,213.774261475
355.640441895,205.587236856,347.534745807,212.958709717
354.093399048,207.681809528,346.568054734,212.746276855
352.602706909,209.814726935,345.62274472,212.482147217
347.748779297,211.983626395,344.699864844,211.823486328
345.373840332,214.186113489,343.800435041,211.431427002
343.461105347,216.419768678,342.925443281,211.080047607
341.469436646,218.682153933,342.075842871,210.770965576
340.127304077,220.970819335,341.252549892,210.580566406
338.524307251,223.283309623,340.456440773,210.579620361
337.718322754,225.617170638,339.68835003,210.698883057
336.960372925,227.969955652,338.949068175,210.842895508
336.374237061,230.339231518,338.239339798,211.091217041
335.815734863,232.722584644,337.559861848,211.572418213
335.349578857,235.117626744,336.9112821,212.420959473
335.194641113,237.522000336,336.294197831,213.054351807
335.117050171,239.933383988,335.709154696,213.728393555
335.100540161,242.349497261,335.156645818,214.453643799
335.113082886,244.768105356,334.637111085,215.505767822
335.200332642,247.187023431,334.150936652,216.285797119
335.54069519,249.604120599,333.698454661,216.809783936
336.612991333,252.017323567,333.279943149,218.743682861
337.582244873,254.424619941,332.895626175,220.571807861
338.435195923,256.824061167,332.54567412,221.718475342
