left_hand,mark_left,mark_right,right_hand
328.030990601,310.019353986,334.492487385,234.245666504
328.46395874,311.764065312,334.948005535,236.667907715
328.858642578,313.474778656,335.426995186,238.682128906
328.977111816,315.151365555,335.928724196,240.534057617
329.469512939,316.793738327,336.45245487,243.616363525
329.576416016,318.401847805,336.997445513,245.543014526
329.747253418,319.975681104,337.562951911,249.661941528
329.725845337,321.51525943,338.148228748,251.32232666
329.719024658,323.020635927,338.75253095,253.132644653
329.951797485,324.491893584,339.375114958,254.359619141
330.069442749,325.929143182,340.015239933,256.223068237
330.015625,327.332521314,340.672168886,258.398468018
329.961044312,328.70218846,341.345169742,261.098052979
329.995025635,330.038327121,342.033516329,263.051895142
330.04258728,331.34114003,342.736489309,264.752090454
329.689056396,332.610848421,343.453377027,266.088302612
327.598114014,333.847690375,344.183476307,267.189483643
325.993240356,335.051919229,344.926093181,268.177719116
324.967086792,336.223802059,345.68054355,269.132995605
320.120864868,337.363618231,346.446153791,270.680877686
314.185195923,338.471658022,347.222261309,271.251068115
307.765457153,339.548221307,348.00821502,272.023651123
303.106231689,340.593616317,348.803375798,273.031509399
300.460845947,341.608158464,349.607116854,274.063583374
299.353347778,342.592169225,350.418824079,275.905944824
298.844787598,343.545975098,351.237896332,278.802841187
298.716934204,344.46990661,352.063745689,284.105819702
298.986724854,345.364297395,352.895797644,291.471054077
300.091125488,346.229483323,353.733491277,300.44744873
303.632217407,347.065801685,354.57627938,310.157012939
304.660247803,347.873590438,355.423628547,318.264846802
306.178695679,348.653187497,356.275019237,324.239227295
308.740982056,349.404930075,357.1299458,329.209289551
311.418716431,350.129154079,357.987916474,333.493011475
313.044204712,350.826193542,358.848453359,341.952789307
311.961257935,351.496380103,359.711092365,351.562896729
306.611053467,352.140042533,360.575383134,359.7162323
300.106903076,352.757506291,361.440888944,365.710754395
292.756637573,353.349093123,362.307186592,369.644317627
287.985595703,353.915120699,363.173866259,373.754463196
287.174179077,354.455902279,364.040531358,374.983512878
298.485214233,354.971746411,364.90679837,369.500946045
317.2709198,355.462956662,365.772296662,353.405059814
